estado,Marque todas las plataformas,¿Cuál es la naturaleza legal,¿Cuáles son las temáticas,¿Cuáles son las fuentes de ingresos,¿El proyecto u organización periodística que refiere ha enfrentado
Falcón,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Falcón,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), Todo lo comunitario y denuncias ",Publicidad,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Falcón,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,No se maneja esta información,Publicidad,No se maneja esta información
Guárico,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Guárico,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en TikTok, Radio (AM o FM)",Privado,"Economía y desarrollo local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No sabe / Prefiere no responder,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Guárico,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Podcast, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Talleres / Capacitaciones, Venta de productos y servicios, ","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Guárico,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias","Tiene estructura jurídica, pero trabaja sin esa naturaleza por los momentos, dado los impuestos que esto generaría y la dificultad para cumplirlos, dado los ingresos actuales. Entonces, se trabaja de manera independiente, con la responsabilidad asumida como periodista colegiada número 6.664","Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Eventos, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Guárico,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Periódico (impreso), Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad), No ha enfrentado este tipo de situaciones"
Guárico,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Guárico,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",Privado,"Arte y cultura local, Deporte local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Guárico,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, ",Publicidad,No se maneja esta información
Guárico,"Cuenta en Instagram, Portal web de noticias",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Guárico,"Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Guárico,"Cuenta en TikTok, Cuenta en Youtube, TV (señal abierta o cable), TV transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Venta de productos y servicios",No se maneja esta información
Guárico,"Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Guárico,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",No se maneja esta información,"Arte y cultura local, Deporte local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Guárico,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Portal web de noticias",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Fondos gubernamentales,No se maneja esta información
Guárico,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable), TV transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
Guárico,"Cuenta en Instagram, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Lara,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Venta de productos y servicios, No sabe / Prefiere no responder",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Lara,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No sabe / Prefiere no responder,Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Lara,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Economía y desarrollo local, Investigación y vigilancia al poder, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Lara,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Lara,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Economía y desarrollo local, Investigación y vigilancia al poder, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Donaciones de empresas,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Lara,"Cuenta en Instagram, Cuenta en X, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Investigación y vigilancia al poder, Temas relacionados con la infancia todo lo que pueda afectar a la infancia, niñez y adolescencia ",Subvenciones o financiamiento internacional,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Lara,"Cuenta en Instagram, Cuenta en X, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Investigación y vigilancia al poder, Temas relacionados con la infancia todo lo que pueda afectar a la infancia, niñez y adolescencia ",Subvenciones o financiamiento internacional,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Lara,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias, Radio (AM o FM)","Organización sin fines de lucro (asociación civil, fundación, ONG)","Por ser un medio de fact-checking, cubrimos todos los temas, pero enfocados en desmentir bulos o desinformaciones que circulen en la región, pero también en el resto del país. Todas las desinformaciones que circulen en Venezuela",Subvenciones o financiamiento internacional,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Lara,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Radio (AM o FM), Radio transmitida vía web",No sabe / Prefiere no responder,Arte y cultura local,Aportes monetarios de los fundadores y/o el equipo,No ha enfrentado este tipo de situaciones
Lara,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, Portal web de noticias",Privado,"Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Lara,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Portal web de noticias, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Lara,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias, Radio (AM o FM), Radio transmitida vía web, TV (señal abierta o cable), TV transmitida vía web, ",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Lara,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Periodismo cara a cara, Radio (AM o FM), TV transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Eventos, Publicidad, Talleres / Capacitaciones","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Lara,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Podcast, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No sabe / Prefiere no responder,Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Lara,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Campañas de financiamiento colectivo (crowdfunding), Contenidos puntuales patrocinados, Donaciones de la audiencia, membresías o suscripciones, Eventos, Subvenciones o financiamiento internacional, Talleres / Capacitaciones","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Lara,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, TV (señal abierta o cable)",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No ha enfrentado este tipo de situaciones
Lara,"Cuenta en Instagram, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad",No ha enfrentado este tipo de situaciones
Lara,"Canal o grupo de mensajería en Whatsapp, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web, TV (señal abierta o cable), TV transmitida vía web",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No ha enfrentado este tipo de situaciones
Lara,"Cuenta en Instagram, Cuenta en X, Periodismo cara a cara","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Subvenciones o financiamiento internacional,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Lara,"Cuenta en Instagram, Cuenta en Youtube, Radio (AM o FM), Radio transmitida vía web","Organización sin fines de lucro (asociación civil, fundación, ONG)","Temas sociales locales (como salud, educación, transporte, servicios públicos)","Donaciones de la audiencia, membresías o suscripciones, Publicidad, Subvenciones o financiamiento internacional",No se maneja esta información
Lara,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
La Guaira,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad, Talleres / Capacitaciones","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
La Guaira,"Cuenta en Instagram, Cuenta en TikTok, Cuenta en X, Periodismo cara a cara","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Donaciones de la audiencia, membresías o suscripciones, Subvenciones o financiamiento internacional, Talleres / Capacitaciones","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
La Guaira,Cuenta en TikTok,Privado,"Deporte local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No sabe / Prefiere no responder,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
La Guaira,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias, Radio transmitida vía web",No sabe / Prefiere no responder,"Arte y cultura local, Deporte local, Economía y desarrollo local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No ha enfrentado este tipo de situaciones
La Guaira,"Cuenta en Instagram, Periodismo cara a cara",Comunitario,"Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
La Guaira,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Prefiere no responder
La Guaira,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Portal web de noticias, Threads",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
La Guaira,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Radio (AM o FM), Radio transmitida vía web, Twitch, Threads","Fuentes señalan que aunque es de capital privado, la compró el Gobernador de la entidad","Arte y cultura local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad, No se maneja esta información",No se maneja esta información
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X",Privado,"Arte y cultura local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad, Venta de productos y servicios","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube",Privado,"Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Mérida,Portal web de noticias,Independiente ,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Cuenta en Instagram, Cuenta en X, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Temas sociales locales (como salud, educación, transporte, servicios públicos), Vulneración de DDHH a NNA/ Participación - Activismo de NNA. Diferentes temas vinculados a los NNA. ",Subvenciones o financiamiento internacional,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Facebook, Cuenta en X, Radio (AM o FM)",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en TikTok, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Eventos, Fondos gubernamentales, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM)","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Donaciones de empresas, Fondos gubernamentales, Publicidad, Subvenciones o financiamiento internacional, Talleres / Capacitaciones",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Mérida,"Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",No sabe / Prefiere no responder,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Fondos gubernamentales, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Radio (AM o FM)",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,No ha enfrentado este tipo de situaciones
Mérida,Canal o grupo de mensajería en Whatsapp,Comunitario,De todo un poco,No hay ninguna fuente de ingresos,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Mérida,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Mérida,"Cuenta en Instagram, Cuenta en X, Cuenta en Youtube, TV (señal abierta o cable), TV transmitida vía web",Privado,"Arte y cultura local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No sabe / Prefiere no responder,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Mérida,Cuenta en Instagram,No sabe / Prefiere no responder,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook",Comunitario,"Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,No ha enfrentado este tipo de situaciones
